346	Stalak za noge	SEFP
347	Usisiva? 3M	SERVIS 1
360	Fiksni telefon panasonic KX-TS15MX-W	GP
361	Laptop Asus A-2400L	NULL
363	Zvu?nici	Servis 2
364	Ra?unar-ku?i?te Intel Pentium e2180	NULL
366	Stol	MBL
367	Stol	MBL
368	Radni sto	SERVIS 4
370	Ormar-plakar sa staklima	MODR
371	Vje?alica	NULL
376	Swich 3 com 16portni	GP
377	Tabla 13 Dahle	SIT
379	Torba sa alatom Katun	NULL
380	Torba sa serviserskim alatom	PANTEON
383	Pila bonsik	SIT
386	Bu?ilica Iskra	SIT
388	Akumulatorska bu?ilica makita 218429	SIT
390	Produ?ni kabal 20M na koturu	SIT
391	Bu?ilica makita	SIT
393	Brusilica makita HR-4000C	SIT
394	Usisiva?	PS
398	Unimer triplett 9005	SIT
03BL5038	MPD NEOPOST SI-92-polovno-03BL5038	B.LUKA
403	Police metalne 1/6	MAG-6
407	Radna stolica	MAG-5
418	Stol pokretni	SPC
419	Reno kangoo 506-J-585	VP
420	Kutija za vijke	PS
422	Bu?ilica za papir sa2 rupe	SPC
423	Bu?ilica za papir velika sa 2 rupe	SPC
424	Yosan ma?ina za terminalni uvez tip 3003	SPC
425	No? i perforirka GBC accycuta A-445 pro	SPC
426	Bu?a? za papir sa 2 rupe	SPC
427	Monitor LCD Samsung	KOPIRNICA
432	Ormari? sa ladicama	PAK
433	Fiksni telefon panasonic KX-TS-3MXW	NULL
438	Vaser vaga	SIT
439	Usisiva?	ODR.HIGIJE
440	Fiksni telefon Panasonic KX-TS 500FXW	NULL
441	Mercedes 476-M-698	NULL
443	Radni sto	PP-2
444	Fiksni telefon panasonic KX-TS-3MXW	NULL
445	Kalkulator TI-1795 SV	SERVIS 1
449	Kompresor	MODR
450	Skener Fujitsu FI-4755C	SPC
451	Merdevine-metalne	SPC
454	Komoda	SIT
456	Zvu?nici 2 kom	GP
457	Fiksni telefon Panasonic KX-TS3MXW	MAL
458	Polica za robu-metalna	PS
459	PP aparat u autu 506-J-585	VP
462	Monitor Samsung SM 171 S	SIT
463	 No? klizni manji Dahle 552 no? GS	SPC
467	Radna stolica	NULL
469	Prikolica za kombi iveko 641-E-151	LOGISTIKA
471	PP aparat u autu 550-M-392	VP
472	Polica aluminijska	PSV
474	Pro?i??iva? vazduha	PP-2
476	Radna stolica	PAK
480	Metalna stala?a sa policama	MAG-4
485	Merdevine metalne	MAG-6
487	Radna stolica	PAK
489	Stala?e aluminiske vezuju?e	MAG-6
490	Polica metalna 1/5	MAG-5
491	Stala?e aluminiske vezuju?e	MBL
497	PP aparat	MAG-4
501	Kalkulator canon P1-DTS	NULL
502	Ra?unar-ku?i?te Asus C-550	NULL
503	Monitor samsung	PAK
505	Radni sto za sastanke	NULL
506	Radna stolica ko?na	NULL
